table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja-Hrkt,あらいぐち,324_02,,
stops,stop_name,ja-Hrkt,あらいばし,325_01,,
stops,stop_name,ja-Hrkt,あらいばし,325_02,,
stops,stop_name,ja-Hrkt,ふじい,326_01,,
stops,stop_name,ja-Hrkt,つじどう,327_01,,
stops,stop_name,ja-Hrkt,うずはし,334_01,,
stops,stop_name,ja-Hrkt,うずはし,334_02,,
stops,stop_name,ja-Hrkt,しょうないこうばん,335_01,,
stops,stop_name,ja-Hrkt,しょうないこうばん,335_02,,
stops,stop_name,ja-Hrkt,きたなみやなぎ,336_01,,
stops,stop_name,ja-Hrkt,きたなみやなぎ,336_02,,
stops,stop_name,ja-Hrkt,こうぼうやまいりぐち,337_01,,
stops,stop_name,ja-Hrkt,こうぼうやまいりぐち,337_02,,
stops,stop_name,ja-Hrkt,なみやなぎしょうがっこう,338_01,,
stops,stop_name,ja-Hrkt,なみやなぎしょうがっこう,338_02,,
stops,stop_name,ja-Hrkt,なみやなぎだんちぐち,339_01,,
stops,stop_name,ja-Hrkt,なみやなぎだんちぐち,339_02,,
stops,stop_name,ja-Hrkt,なみやなぎだんちきた,340_01,,
stops,stop_name,ja-Hrkt,なみやなぎだんちみなみ,341_01,,
stops,stop_name,ja-Hrkt,ふんどうちょう,342_01,,
stops,stop_name,ja-Hrkt,ふかしこうこううら,343_01,,
stops,stop_name,ja-Hrkt,ありがさききた,344_01,,
stops,stop_name,ja-Hrkt,ありがさききた,344_02,,
stops,stop_name,ja-Hrkt,さわむら,345_01,,
stops,stop_name,ja-Hrkt,さわむら,345_02,,
stops,stop_name,ja-Hrkt,しんだいびょういんげんかんまえ,346_01,,
stops,stop_name,ja-Hrkt,しかくしょうがいしゃせんたー,347_01,,
stops,stop_name,ja-Hrkt,しかくしょうがいしゃせんたー,347_02,,
stops,stop_name,ja-Hrkt,しみずなかく,348_01,,
stops,stop_name,ja-Hrkt,しみずなかく,348_02,,
stops,stop_name,ja-Hrkt,よつや,349_01,,
stops,stop_name,ja-Hrkt,よつや,349_02,,
stops,stop_name,ja-Hrkt,しんだいびょういんみなみぐち,350_02,,
stops,stop_name,ja-Hrkt,ことぶきだいみなみ,351_01,,
