fare_id,route_id,origin_id,destination_id
170,12,139_03,354_02
170,12,140_01,139_01
170,12,140_01,307_02
170,12,140_02,141_02
170,12,140_02,354_02
170,12,141_05,139_01
170,12,141_05,140_01
170,12,141_05,307_02
170,12,141_05,354_01
170,12,301_01,139_03
170,12,301_01,304_02
170,12,301_01,305_02
170,12,301_01,306_02
170,12,301_01,307_02
170,12,302_01,139_03
170,12,302_01,301_01
170,12,302_01,303_01
170,12,302_01,304_02
170,12,302_01,305_02
170,12,302_01,306_02
170,12,302_01,307_02
170,12,303_01,139_03
170,12,303_01,301_01
170,12,303_01,304_02
170,12,303_01,305_02
170,12,303_01,306_02
170,12,303_01,307_02
170,12,304_02,139_03
170,12,304_02,305_02
170,12,304_02,306_02
170,12,304_02,307_02
170,12,305_02,139_03
170,12,305_02,306_02
170,12,305_02,307_02
170,12,306_02,139_03
170,12,306_02,307_02
170,12,307_02,139_03
170,12,307_02,140_02
170,12,307_02,141_02
170,12,307_02,354_02
170,12,354_01,139_01
170,12,354_01,140_01
170,12,354_01,307_02
170,12,354_02,141_02
170,13,135_01,136_01
170,13,135_01,137_01
170,13,135_01,138_01
170,13,135_01,139_01
170,13,136_01,137_01
170,13,136_01,138_01
170,13,136_01,139_01
170,13,136_02,135_02
170,13,137_01,138_01
170,13,137_01,139_01
170,13,137_02,135_02
170,13,137_02,136_02
170,13,138_01,139_01
170,13,138_02,135_02
170,13,138_02,136_02
170,13,138_02,137_02
170,13,139_01,301_01
170,13,139_01,302_01
170,13,139_01,303_01
170,13,139_02,135_02
170,13,139_02,136_02
170,13,139_02,137_02
170,13,139_02,138_02
170,13,301_01,139_02
170,13,301_01,304_02
170,13,301_01,305_02
170,13,301_01,306_02
170,13,301_01,307_02
170,13,302_01,301_01
170,13,302_01,303_01
170,13,303_01,301_01
170,13,304_02,139_02
170,13,304_02,305_02
170,13,304_02,306_02
170,13,304_02,307_02
170,13,305_02,139_02
170,13,305_02,306_02
170,13,305_02,307_02
170,13,306_02,139_02
170,13,306_02,307_02
170,13,307_02,135_02
170,13,307_02,136_02
170,13,307_02,137_02
170,13,307_02,138_02
170,13,307_02,139_02
170,14,299_01,300_01
170,14,299_01,324_02
170,14,299_01,325_02
170,14,299_01,327_01
170,14,300_01,324_02
170,14,300_01,325_02
170,14,300_01,327_01
170,14,319_01,320_01
170,14,319_01,321_01
170,14,319_01,322_01
170,14,320_01,321_01
170,14,320_01,322_01
170,14,320_02,319_02
170,14,321_01,322_01
170,14,321_02,319_02
170,14,321_02,320_02
170,14,322_01,323_01
170,14,322_01,324_01
170,14,322_01,325_01
170,14,322_02,319_02
170,14,322_02,320_02
170,14,322_02,321_02
170,14,323_01,324_01
170,14,323_01,325_01
170,14,323_01,327_01
170,14,323_02,322_02
170,14,324_01,299_01
170,14,324_01,300_01
170,14,324_01,325_01
170,14,324_01,326_01
170,14,324_01,327_01
170,14,324_02,322_02
170,14,324_02,323_02
170,14,325_01,299_01
170,14,325_01,300_01
170,14,325_01,326_01
170,14,325_01,327_01
170,14,325_02,322_02
170,14,325_02,323_02
170,14,325_02,324_02
170,14,326_01,299_01
170,14,326_01,300_01
170,14,326_01,324_02
170,14,326_01,325_02
170,14,326_01,327_01
170,14,327_01,324_02
170,14,327_01,325_02
170,16,141_03,151_01
170,16,141_03,152_01
170,16,141_03,153_02
170,16,141_03,154_01
170,16,151_01,152_01
170,16,151_01,153_02
170,16,151_01,154_01
170,16,151_02,141_04
170,16,152_01,153_02
170,16,152_01,154_01
170,16,152_02,141_04
170,16,152_02,151_02
170,16,153_02,141_04
170,16,153_02,151_02
170,16,153_02,152_02
170,16,153_02,154_01
170,16,153_02,155_01
170,16,153_02,156_01
170,16,154_01,155_01
170,16,154_01,156_01
170,16,154_02,141_04
170,16,154_02,151_02
170,16,154_02,152_02
170,16,154_02,153_02
170,16,155_01,156_01
170,16,155_02,153_02
170,16,155_02,154_02
170,16,156_01,157_01
170,16,156_02,153_02
170,16,156_02,154_02
170,16,156_02,155_02
170,16,157_01,156_02
170,17,103_01,105_01
170,17,103_01,106_01
170,17,103_01,107_01
170,17,103_01,108_01
170,17,104_01,105_01
170,17,104_01,106_01
170,17,104_01,107_01
170,17,104_01,108_01
170,17,105_01,106_01
170,17,105_01,107_01
170,17,105_01,108_01
170,17,106_01,107_01
170,17,106_01,108_01
170,17,107_01,108_01
170,17,107_01,109_01
170,17,107_01,110_01
170,17,108_01,109_01
170,17,108_01,110_01
170,17,109_01,110_01
170,17,109_02,112_01
170,17,109_02,113_02
170,17,110_01,109_02
170,17,110_01,111_01
170,17,110_01,112_01
170,17,110_01,113_02
170,17,111_01,110_01
170,17,112_01,113_02
170,17,112_01,114_02
170,17,112_01,115_02
170,17,113_02,114_02
170,17,113_02,115_02
170,18,141_01,151_01
170,18,141_01,152_01
170,18,141_01,153_02
170,18,141_01,154_01
170,18,151_01,152_01
170,18,151_01,153_02
170,18,151_01,154_01
170,18,151_02,141_02
170,18,152_01,153_02
170,18,152_01,154_01
170,18,152_02,141_02
170,18,152_02,151_02
170,18,153_02,141_02
170,18,153_02,151_02
170,18,153_02,152_02
170,18,153_02,154_01
170,18,153_02,155_01
170,18,153_02,156_01
170,18,154_01,155_01
170,18,154_01,156_01
170,18,154_02,141_02
170,18,154_02,151_02
170,18,154_02,152_02
170,18,154_02,153_02
170,18,155_01,156_01
170,18,155_02,153_02
170,18,155_02,154_02
170,18,156_01,157_01
170,18,156_01,188_01
170,18,156_01,189_01
170,18,156_01,190_01
170,18,156_02,153_02
170,18,156_02,154_02
170,18,156_02,155_02
170,18,157_01,188_01
170,18,157_01,189_01
170,18,157_01,190_01
170,18,157_01,191_01
170,18,157_02,156_02
170,18,188_01,189_01
170,18,188_01,190_01
170,18,188_01,191_01
170,18,188_02,156_02
170,18,188_02,157_02
170,18,189_01,190_01
170,18,189_01,191_01
170,18,189_02,156_02
170,18,189_02,157_02
170,18,189_02,188_02
170,18,190_01,191_01
170,18,190_02,156_02
170,18,190_02,157_02
170,18,190_02,188_02
170,18,190_02,189_02
170,18,191_01,192_01
170,18,191_01,193_01
170,18,191_02,157_02
170,18,191_02,188_02
170,18,191_02,189_02
170,18,191_02,190_02
170,18,192_01,193_01
170,18,192_02,191_02
170,18,193_01,194_01
170,18,193_01,195_01
170,18,193_02,191_02
170,18,193_02,192_02
170,18,194_01,195_01
170,18,194_02,193_02
170,18,195_02,193_02
170,18,195_02,194_02
170,19,162_01,163_01
170,19,163_01,164_01
170,19,163_01,165_01
170,19,163_01,166_01
170,19,163_02,162_02
170,19,164_01,165_01
170,19,164_01,166_01
170,19,164_02,163_02
170,19,165_01,166_01
170,19,165_01,167_01
170,19,165_01,168_01
170,19,165_01,169_01
170,19,165_02,163_02
170,19,165_02,164_02
170,19,166_01,167_01
170,19,166_01,168_01
170,19,166_01,169_01
170,19,166_02,163_02
170,19,166_02,164_02
170,19,166_02,165_02
170,19,167_01,168_01
170,19,167_01,169_01
170,19,167_02,165_02
170,19,167_02,166_02
170,19,168_01,169_01
170,19,168_02,165_02
170,19,168_02,166_02
170,19,168_02,167_02
170,19,169_01,170_01
170,19,169_01,171_01
170,19,169_01,172_01
170,19,169_02,165_02
170,19,169_02,166_02
170,19,169_02,167_02
170,19,169_02,168_02
170,19,170_01,171_01
